书名	书名（英文）	作者
童话人生	The One Life We're Given: Finding the Wisdom That Waits in Your Heart	马克·内泽尔
视频营销密码	Video Marketing Rules: How to Win in a World Gone Video	罗伯特·威斯科普夫
极限领导力	Extreme Ownership: How U.S. Navy SEALs Lead and Win	杰克·欧文
双城记	A Tale of Two Cities	查尔斯·狄更斯
巨人的陨落	The Rise and Fall of the Great Powers	保罗·肯尼迪
新约全书	The New Testament	多位作者
突围：从设计思维到创业成功	The Lean Entrepreneur: How to Quickly Launch Your Startup, Collaborate Effectively, and Drive Growth	布拉德·法茨
不为人知的经济学	The Undercover Economist	蒂莫西·哈丁顿
黑客帝国	The Matrix	拉里·沃卓斯基和安迪·沃卓斯基
人性的弱点	How to Win Friends and Influence People	戴尔·卡耐基
十年之痒	The Seven Year Itch	乔治·艾克思
河图	Book of Changes	王阳明
如何世界观	How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence	迈克尔·波林
灿烂千阳	A Thousand Splendid Suns	卡勒德·胡赛尼
强大的一代	The Greatest Generation	汤姆·布罗卡夫
心理学导论	Introduction to Psychology	詹姆斯·W·卡尔
人类简史	Sapiens: A Brief History of Humankind	尤瓦尔·赫拉利
绿山墙的安妮	Anne of Green Gables	露西·蒙哥马利
有所不为	The Art of Not Being Governed: An Anarchist History of Upland Southeast Asia	詹姆斯·C·斯科特
人类简史	Sapiens: A Brief History of Humankind	尤瓦尔·赫拉利
奇特的一生	A Man Called Ove	弗雷德里克·巴克曼
非暴力沟通	Nonviolent Communication: A Language of Life	马歇尔·卢森堡
厚黑学	The Thick Black Theory	李宗吾
乌合之众	The Crowd: A Study of the Popular Mind	古斯塔夫·勒庞
学会提问：批判性思维指南	A Guide to the Good Life: The Ancient Art of Stoic Joy	威廉·欧文
追寻逝去的时光	In Search of Lost Time	马塞尔·普鲁斯特
道德经	Tao Te Ching	老子
格局万象	The Art of Thinking Clearly	罗尔夫·多贝利
流浪地球	The Wandering Earth	刘慈欣
攸县战役	Battle of You County	贾平凹
霍乱时期的爱情	Love in the Time of Cholera	加夫列尔·加西亚·马尔克斯
穆斯林的葬礼	The Muslim Funeral	周国平
双城记	A Tale of Two Cities	查尔斯·狄更斯
囚徒健身	Convict Conditioning	保罗·韦德恩
史记	Records of the Grand Historian	司马迁
达芬奇密码	The Da Vinci Code	丹·布朗
不成熟的心	The Unbearable Lightness of Being	米兰·昆德拉
卡拉马佐夫兄弟	The Brothers Karamazov	陀思妥耶夫斯基
社会契约论	The Social Contract	卢梭
挪威的森林	Norwegian Wood	村上春树
莫扎特与萨利耶里	Mozart and Salieri	普希金
走出封闭	The Road to Open and Healthy Organization	张海征
茶花女	La Dame aux Camélias	亚历山大·大仲马
芒果街上的小屋	The House on Mango Street	珍妮特·加西亚
飞鸟集	The Gardener	泰戈尔
麦田里的守望者	The Catcher in the Rye	J.D.塞林格
自在独行：贾平凹的独行世界	Walking Alone	贾平凹
资本论	Das Kapital	卡尔·马克思
富爸爸，穷爸爸	Rich Dad, Poor Dad	罗伯特·清崎/莎伦·莱赛特
中国的故事	The Search for Modern China	约翰•费尔南德斯
裸露的足迹	Naked Lunch	威廉·S·伯勒斯
自控力	The Power of Habit	查尔斯·杜希格
我用真情付出了我的青春	Forever Young, Forever Free	大卫·莫茨
一只特立独行的猪	Babe, The Gallant Pig	迈克尔·伯恩
故事人生	The Story of a Lifetime	保罗·克考斯基
岛上书店	The Bookshop on the Shore	珍妮·科尔根
史蒂夫·乔布斯传	Steve Jobs	沃尔特·艾萨克森
指环王	The Lord of the Rings	托尔金
悲惨世界	Les Miserables	雨果
文化苦旅	The Cultural Experience	费孝通
无问西东	Forever young	杨利伟
菜根谭	Collection from the Root of the Vegetable	袁了凡
秘密	The Secret	罗恩·达科
旧事件	Old Events	野上弥生子
浮士德	Faust	歌德
码头上的人生	Life on the Grounds of the Pier	朵拉·帕普帕诺里
一点灵感	A Spark of Inspiration	吴念真
智慧的长跑	The Long Run of Wisdom	吉田修一
为达到理想而朝着自己的目标奋斗	The Magic of Thinking Big	大卫·J.施瓦茨
思考，快与慢	Thinking, Fast and Slow	丹尼尔·卡尼曼
影响力	Influence: The Psychology of Persuasion	罗伯特·西奥迪尼
囚徒困境	The Prisoner’s Dilemma	威廉·普莱瑟
谈判的艺术	Getting to Yes	罗杰·费舍尔、威廉·尤里
独裁者手册	The Dictator’s Handbook: Why Bad Behavior is Almost Always Good Politics	布鲁斯·布伦南、乔治·利科夫
心理学与生活	Psychology and Life	理查德·格里格斯、菲利普·洛克利德
怎样读懂一个人	Captivate: The Science of Succeeding with People	范妮莎·范德比尔特
为什么我们这么聪明却总情不自禁	The Undoing Project: A Friendship That Changed Our Minds	迈克尔·刘易斯
人性的弱点	How to Win Friends and Influence People	戴尔·卡耐基
卓有成效的管理者	The Effective Executive	彼得·德鲁克
乌合之众	The Crowd: A Study of the Popular Mind	古斯塔夫·勒庞
内向者优势	Quiet: The Power of Introverts in a World That Can't Stop Talking	苏珊·凯恩
演讲的力量--语言的本质	The Language of Life and Death: The Transformation of Experience in Oral Narrative	塞西尔·赖昂
恶意与情感	Hatred and Civility: The Antisocial Life in Victorian England	谢莉·古里安
习惯的力量	The Power of Habit: Why We Do What We Do in Life and Business	查尔斯·杜希格
为什么我这样聪明却没人想跟我合作	Collaborative Intelligence: Thinking with People Who Think Differently	莉莱·韦登霍夫、莫兰·苏努
嵌入式心理学	Embedded Psychology: New Insights From The Science of Human Decision Making	莎拉·加里斯
快速思考：启发式思考指南	Thinking, Fast and Slow: Heuristics and Biases	达尼埃尔·卡尼曼
谈吐的力量	The Power of Talk: How Words Change Our Lives	芭芭拉·托克拉斯
表情的艺术	Emotional Intelligence: Why It Can Matter More Than IQ	丹尼尔·戈尔曼
情绪智商：对情感的理解能力比对智商更重要	The Emotional Intelligence Quick Book	特拉维斯·布拉德贝里、珍妮特·珀尔曼
领袖之谎	The Lies We Tell Ourselves	理查德·卡吉阿尼
重构人类：生物学，道德，人类的未来	Rewiring the Human Race: The Future of Science and Humanity	安东尼·文汉
演说力	Talk like TED: The 9 Public Speaking Secrets of the World's Top Minds	卡门·加洛
格局改变	Mindset: The New Psychology of Success	卡罗尔·德韦克
写意人生	The Art of Possibility	罗莎莉·曼格斯·塞尔
刻意练习	Peak: Secrets from the New Science of Expertise	安德斯 · 尔琴
识人：行动会说话	Snap: Making the Most of First Impressions, Body Language, and Charisma	佐伊·奈特
压力：为什么我们不能承受上升的压力，如何应对	The Upside of Stress: Why Stress Is Good for You, and How to Get Good at It	凯利·麦格尼格尔
当坏事发生咋办	Adversity Quotient: Turning Obstacles into Opportunities	保罗·史图斯
行为经济学：一本适合大众阅读的经济学入门	Misbehaving: The Making of Behavioral Economics	理查德·塞勒
固化思维	The Mindset of Fixed Beliefs: The Emotional Stability in Society	红万笔
孩子必须自己学	The End of Parenting: How We Can Save America's Families From Celebrity Experts, Silicon Valley, and the American Medical Association	克里斯托夫·盖格恩
沉迷：数字时代的力量与弱点	Irresistible: The Rise of Addictive Technology and the Business of Keeping Us Hooked	亚当·奥尔特
肢体语言词典	The Definitive Book of Body Language	艾伦·佩斯
横跨纵深：知识管理的实操指南	Crossing the Chasm: Marketing and Selling Disruptive Products to Mainstream Customers	杰弗里·穆尔
观察者：自我监控与领导力	The Observer: The Art of Self-monitoring and Leadership	威廉·博格霍夫
好奇心	The Power of Curiosity: How to Have Real Conversations That Create Collaboration, Innovation and Understanding	李·W·保尔
逻辑思维	The Art of Reasoning	大卫·凯利
影响	Impact: How to Build Your Personal Brand for Leadership in the Digital Age	崔维斯·布拉德贝里
人类，再见	Sapiens: A Brief History of Humankind	尤瓦尔·赫拉利
反脆弱	Antifragile: Things That Gain from Disorder	纳西姆·尼古拉斯·塔勒布
意外：从概率角度看人生与市场	The Black Swan: The Impact of the Highly Improbable	纳西姆·尼古拉斯·塔勒布
话语的力量：辞赋与影响	The Voice of Reason: Essays in Objectivist Thought	艾伦·林德
社会动员：新的组织形式如何改变社会、政治、经济	The New Rules of War: Victory in the Age of Durable Disorder	肖恩·麦克菲特里奇
思维的乐趣	A Mathematician's Apology	格哈德·哈代
终生学习	The Power of Lifelong Learning: A Guide to Personal & Professional Fulfillment	克里斯莱·凯耶斯
五大展望：20世纪以来的人文思想再审视	Five Views on Man and Freedom	奎恩特·葛巴洛
思考，快与慢	Thinking, Fast and Slow	丹尼尔·卡尼曼
幸福的密码	The Happiness Advantage	肖恩·艾克
刻意练习	Peak: Secrets from the New Science of Expertise	安德斯·爱利克森
奇思妙想的力量	The Power of Moments	丹·海思和芒·查普·希思
自控力	The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It	凯利·麦戈尼格尔
行为经济学纲要	Misbehaving: The Making of Behavioral Economics	理查德·塞勒
不安全的稳定态	The Unstable State of the Mind	丹尼尔·卡尼曼
快乐的钢铁侠	Happy Money: The Science of Happier Spending	伊丽莎白·邓恩和迈克尔·诺顿
选择的艺术	The Art of Choosing	谢纳·易卜拉欣
关键决策	Decisive: How to Make Better Decisions	丹·海思和芒·查普·希思
思维潜能的开发	The Brain That Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science	诺曼·多伊奇
大脑解密	Incognito: The Secret Lives of the Brain	大卫·伯纳和斯科特·芬卡
人类行为的神经科学	Social: Why Our Brains Are Wired to Connect	马修·李卡
深度被动	Deep Work: Rules for Focused Success in a Distracted World	卡尔·纽波特
灯塔原理	The Lighthouse Principle: Discovering the Wholeness in Our Disconnected World	丹尼尔·古尔曼
道德状态	The Righteous Mind: Why Good People Are Divided by Politics and Religion	乔纳森·海特
依恋的天然与人造	The Natural History of Love	道格拉斯·海曼
所谓性格	Personality: What Makes You the Way You Are	丹尼尔·尼特
毒品的古老心理	The Ancient Psychedelic Revival: Speculations on the Psychedelic Ayahuasca and Silent Lacuna	珍妮弗·哈珀
脑萎缩的逆转与宽恕神经科学	Rewire Your Brain for Love: Creating Vibrant Relationships Using the Science of Mindfulness	马乔丽·卡安
霸权的崛起	The Rise of the New Global Elite	查尔斯·默里
回忆自由	The Memory Keeper's Daughter	金·爱德华兹
文章	Between the World and Me	泰·纳赛考茨
白人优越感	White Fragility: Why It's So Hard for White People to Talk About Racism	罗宾·迪安松
延迟的正义	Delaying Justice: Race, Identity, and Learning in Durban, South Africa and Beyond	加文·库克
卢旺达的呼声	Left to Tell: Discovering God Amidst the Rwandan Holocaust	伊曼纽尔·伊万达
扼杀自由：一部20世纪美国恐怖故事	Killers of the Flower Moon: The Osage Murders and the Birth of the FBI	大卫·格兰
种族偏见	Race Debunked: Science and Culture Refuted	哥伦布·奎尔
带我们走向光明：内在变革	A Place to Walk: A Spiritual Journey into the Heart of Nature	克里斯汀娜·阿德尔曼
眼中的希望	The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe without Design	理查德·道金斯
理性乐观主义与全球和平的实现	The Rational Optimist: How Prosperity Evolves	马特·里德利
不和平社会	Unequal Democracy: The Political Economy of the New Gilded Age	劳伦斯·博兹和凯文·克鲁德
引向正义的修辞学	Anger and Forgiveness: Resentment, Generosity, Justice	玛莎·奥尔布勒希特
识别失误与决策殃及全球	On Thin Ice: The Changing World of the Polar Bear	杰恩·斯图尔特
理性的反乌托邦	Utopia as Method: The Imaginary Reconstitution of Society	安德列·格兰德
文化创伤与哀悼	Culture and Trauma: An Exploration of Methodologies	凯瑟琳·迪民尼
强奸与社会：一种性别的政治分析	Against Our Will: Men, Women, and Rape	苏珊·布朗米勒
文化模式的批判：一种人类学实践	Small Places, Large Issues: An Introduction to Social and Cultural Anthropology	托马斯·海登
历史、文化和危机的社会心理学	Psychology of Crisis and History: Cross-Cultural and Historical Perspectives	Stefanose
全球化时代的移民文化	The Accidental American: Immigration and Citizenship in the Age of Globalization	Rinku Sen
数字社会学	Digital Sociology	凯特·奥登厄姆
国家数字计划的发展	Code and Other Laws of Cyberspace: Version 2.0	劳伦斯·莱斯斯格
计算与社会	Computers and Society: Computing for Good	Antonella Caruso
电子政务概论	Introduction to E-Government and E-Governance: Concepts, Policies and Case Studies	舒凯和塔里克·赛义德
社交媒体与社会力量	Social Media and Social Power	查尔斯·特盖尔
抗争的身份	Identity: Unknown Battles of Survival, Trauma, and Resistance	阿吉·哈克
中国如何掌控世界	The Future is Asian: Commerce, Conflict and Culture in the 21st Century	帕里格·库马拉萨米
经济学之父	The Wealth of Nations: A Translation into Modern English	亚当·斯密
奥巴马时代的失落工人	Strangers in Their Own Land: Anger and Mourning on the American Right	阿鲁·雷内·塞克斯顿
道德经济学	The Moral Economy: Why Good Incentives are No Substitute for Good Citizens	塞缪尔·鲍尔斯 and Ann Florini
